4D00: 一種の水鳥CJKの表意文字: tung4 zung1 , トング
4D76: 一種のカエルの表意文字。一種のウミガメ。二つの角を持つ。とカメの甲羅のパターンCJK: keoi4 , 曲
4D77: 表意文字（鼃蛙と同じ）カエル、（交換interchange）レッチ、嘔吐の騒音CJK: waa1 , ワ
4D78: Ideograph（鼀と同じ）月に住むヒキガエルCJK: caau1
4D79: 作物に有害な表意文字（標準形鼅）、クモCJK: zi1 , ジー
4D7A: 農地間の表意文字（圢町と同じ）境界、（日本では）通り。街区、アリの丘。家のそばのぎくしゃくした、空いている土地。パドック、鹿の跡。ディアトラックCJK: ding2 ting5 , ǐ
4D7B: 2本の耳を持つ青銅製の小さな三脚（標準形鏏）2本の耳を持つ青銅製の三脚。重い三本足の大釜または犠牲船CJK: waai6 , gǔ
4D7C: 煮るための表意文字。調理する。 CJKを煮込む: soeng1 , シャーン
4D7D: 太鼓の表意文字の音、太鼓の側面を打つCJK: cat6 , カ
4D7E: 太鼓の表意文字の音、軍の太鼓の大きな音、（拊と同じ）軽くまたは優しく手で触れ、平手打ちする。タップする;手をたたく: fu4 , フー
4D7F: サイレントドラムの表意文字、広々としたCJK: nim1 tip3 , ネクタイ
4D80: 太鼓の表意文字サウンド。音のイメージCJK: dap6 , タタ
4D81: 表意文字のノイズ。ドラムCJKの無秩序または混乱した音: dap6 , タタ
4D82: リスのような動物、飛んでいるリス、ラットのような動物の表意文字。はるかに小さいCJK: zoek3 , zhuó
4D83: 一種のラットの表意文字、トカゲCJK: ham4 , ハーン
4D84: 縞模様のまだらラットヤマネズミ短くて赤褐色の斑点がある色CJK: ping4 , ピン
4D85: 頭の大きいマーモットのようなラットの表意文字CJK: ロック3ロック3ロック6 , 彼
4D86: ラットの表意文字（方言）。マウスCJK: ceoi4 kei4 zeoi1 , ジューイ
4D87: ラットCJKの表意文字: zau6 , ゾウ
4D88: カンガルーCJKとして知られている一種のネズミの表意文字: bok3 , ボ
4D89: 表意文字モルモット。一種の大きなねずみ。竹林に住む日中韓: lau4 , リウ
4D8A: 表意文字（破損した形式）（衄と交換可能）、鼻から出血したり、戦闘中にチェックインしたり、熱意を弱めたり、縮小したりする。厳しく扱うために、弱められるために。 CJKを倒す: nuk6 , ん
4D8B: 表意文字サウンド息の音CJK: kaap1 , xī
4D8C: 表意文字（皰と同じ）膿疱またはにきびCJK: paau3 , パオ
4D8D: くしゃみをするための表意文字（嚏と同じ）: tai3 , ディ
4D8E: 表意の息吹の音。いびき鼻を鳴らしている日中韓: hot3 , 彼
4D8F: 表意文字（洟と同じ）涙;軽快な;鼻粘液、（挮と同じ）泣く。 CJKを巧みに扱う: taai1 , チー
4D90: 息を吸うための表意文字。いびき鼻を鳴らしている日中韓: fai3 , ワイ
4D91: くしゃみをするための表意文字（標準形嚏）。鼻で走っている日中韓: tai3 , チー
4D92: 表意文字卓越した能力、絶妙な。素晴らしい日中韓: cai4 , 気
4D93: 表意文字のラミー。撚り合わせてつなぐためのリネン荒布（紐）。続けるために、の逮捕を命じるために。 CJKをキャプチャする: caap1 zaai3 , じい
4D94: 表意文字ガム（歯の）CJK: ci4 , チー
4D95: 表意文字の不規則で目立つ歯CJK: baa1 paa4 , バ
4D96: 口を閉じて舌の表意文字（牛の）は、日中韓: gaam3 , じん
4D97: 噛むための表意文字。噛むためにすべての力を使う。かじり取るために、骨が歯の間で圧迫する（摘み取ることができなかった）CJK: hap3 , ケ
4D98: 乾いたものや硬いものを噛む音、噛むことや噛むことの音CJK: ラップ6 , Lì
4D99: 歯茎（歯の）の表意文字の腫れCJK: geoi6 , ジュ
4D9A: 表意文字（非古典的な形の齲）虫歯。虫歯CJK: geoi2 , qǔ
4D9B: 歯で骨から肉を分離するための表意文字、骨から肉を分離するために歯を使用する音CJK: laat6 , ラ
4D9C: 象牙や象の牙を白くするプロセスを表意文字で表します。かじり音CJK: guk1 , gǔ
4D9D: 不規則な歯を成長させている表意文字。曲がった歯、割れ目の歯。かじり音CJK: haap1 , チア
4D9E: かじるのための表意文字。 CJKを噛む: kei4 , 気
4D9F: 歯をかざすための表意文字（怒り）CJK: ハーム6 , シアン
4DA0: かじる表意文字（䶢と同じ）。噛む、口の中に入れる、CJK: gaam1 , じん
4DA1: かみつくの表意文字の音（齰と同じ）。 CJKをかじる: saat6 , 市
4DA2: かじるのための表意文字。噛む、口の中に入れる、CJK: gaam1 , じゃあん
4DA3: 歯を磨くための表意文字、歯CJK: goi1 ngoi4 , あい
4DA4: 咀嚼骨の表意文字CJK: waa4 , ほら
4DA5: 表意文字（矯正と同じ）歯の不均等な歯、不規則な歯、多彩な色彩が見事です。明るくカラフルな日中韓: zeoi2 , シャー
4DA6: 噛むために、上と下の歯を順番に並べて対応させます。 CJKを噛む: zak3 , ゼ
4DA7: かじるための表意文字（U + 9F69咬と同じ）。 CJKを噛む: ngau5 , よ
4DA8: 歯のない人が食べ物を咀嚼する方法での表意文字CJK: tam4 zaam3 zam1 , ザーン
4DA9: かじるのための表意文字。噛むために、整然とした歯CJK: caai1 dam3 zaai6 , じい
4DAA: 鋭い歯の表意文字。ナイフ、砂（食品中）、醜いCJKのようなものを壊すため: caat3 , チャ
4DAB: 表意文字の細かい歯、不規則な歯CJK: zim6 , やん
4DAC: ドラゴンCJKの裏側に表意文字の堅いひれ: gin1 , じゃあん
4DAD:
4DAE: 表意文字（簡略化された形式）賢い;上司、人の名前（南朝鮮、空を飛ぶ龍の意味）: zim5 , うん
4DAF: 女の子の名前CJKで使用されている表意文字: gwaai1 gwaai2 kwaai1
4DB0: 表意羽飾りCJK: ziu1 , ジャオ
4DB1: 一種のカメCJKの表意文字: tung4 , トング
4DB2: 端を表意文字;カメの貝殻の裾または縁CJK: zim4 , ナン
4DB3: CJKに頼るために、崇拝するためにルックアップするための表意文字: zoek6 , ゆえ
4DB4: CJKを吹く表意文字（吹と同じ）: ceoi1 ceoi2
4DB5: 表意文字（U + 7B8E sameと同じ）7穴の竹笛CJK: ci4 si4 , チー
4DB6:
4DB7:
4DB8:
4DB9:
4DBA:
4DBB:
4DBC:
4DBD:
4DBE:
4DBF:
4DC0: 創造的な天国のための六角形
4DC1: 受容地球のための六角形
4DC2: 初めの難しさのためのHexagram
4DC3: 若々しい愚痴のための六角形
4DC4: 待つための六角形
4DC5: 矛盾のための六角形
4DC6: 陸軍のための六角形
4DC7: 一緒に持つための六角形
4DC8: 小さな調教のための六角形
4DC9: ヘキサグラム
4DCA: 平和のための六角形
4DCB: Standstillのヘキサグラム
4DCC: 交わりのためのヘキサグラム
4DCD: 素晴らしい所持のための六角形
4DCE: 謙虚さのための六角形
4DCF: 熱意のための六角形
4DD0: フォローのためのHexagram
4DD1: 衰退した仕事のための六角形
4DD2: アプローチのためのHexagram
4DD3: 熟考のための六角形
4DD4: 噛み付かせるヘキサグラム
4DD5: グレースのための六角形
4DD6: 分割のためのヘキサグラム
4DD7: リターンのためのヘキサグラム
4DD8: 無罪のための六角形
4DD9: 素晴らしい調教のためのHexagram
4DDA: 口角のための六角形
4DDB: 偉大な優位のための六角形
4DDC: 最悪の水のための六角形
4DDD: しがみつく火のための六角形
4DDE: 影響力のあるヘキサグラム
4DDF: 期間のためのHexagram
4DE0: ヘキサグラムリトリート
4DE1: 偉大な力のための六角形
4DE2: 進捗状況のヘキサグラム
4DE3: 光を暗くするための六角形
4DE4: 家族のための六角形
4DE5: 反対のための六角形
4DE6: 閉塞のための六角形
4DE7: 配信のためのHexagram
4DE8: 減少のためのヘキサグラム
4DE9: Hexagramを増やす
4DEA: 画期的なHexagramの
4DEB: 会いに来るためのHexagram
4DEC: 一緒に集まるための六角形
4DED: 上向きに押すための六角形
4DEE: 抑圧のための六角形
4DEF: 井戸のヘキサグラム
4DF0: 革命のための六角形
4DF1: 釜の六角形
4DF2: 興奮の雷のための六角形
4DF3: まだ山を保つための六角形
4DF4: 開発用ヘキサグラム
4DF5: 結婚乙女のための六角形
4DF6: 豊富なヘキサグラム
4DF7: 放浪者のための六角形
4DF8: 穏やかな風のための六角形
4DF9: 喜びの湖のための六角形
4DFA: 分散用ヘキサグラム
4DFB: 制限のための六角形
4DFC: 内なる真実のための六角形
4DFD: 小さな優位のための六角形
4DFE: 完成後の六角形
4DFF: 完成前のヘキサグラム
