3E00: すすCJKで黒くなった表意文字（炱の非古典的な形）: toi6 , タイ
3E18: 表意文字（萬の古形）万、全部、とても;極めて;絶対に日中韓: ワン6 , ワーン
3E19: 表意文字（方言）お父さん、濡れた看護師の夫（古くからの話）CJK: ze1 , zhē
3E1A: 表意が散らばったり、散在したり、はっきりしたり、止めたり、拘束したりするには、系列、家系CJK: レイ5 , ǐ
3E1B:
3E1C: 星座で囲まれた空間を通り抜けるための表意文字。日中韓から出る: ハング1 , こんにちは
3E1D: 表意文字（杴と同じ）、シャベル、水を流すためのトラフ、木板。板CJK: hin1 , シアン
3E1E: 印刷用の表意文字ブロック、建物の壁で使用される支持板CJK: 禁止2 , ジー
3E1F: カバーする表意文字。閉じるCJKを閉じる: taai2 zi1 , ジー
3E20: 厚手の表意文字スティック。スタウトキャリングポール、ベッドの梁CJK: tiu5 , ティオ
3E21: 潮流を遮断するための表意文字板、クロスビームCJKで川を渡る: syu4 , シュウ
3E22: ベッド、窓、型の表意文字梁。パターンCJK: bei6 , べイ
3E23: 古代中国の表意文字（商業と同じ）、のこぎりの歯の形状の彫刻が施されたミュージックラックの大きな板（厚板）。時計（ミュージカルストーン、ドラムなど）、命令CJKを掛けるために使用される: zip6 , ええ
3E24: 表意破れた革CJK: パン4ピン3 , ピアン
3E25: 表意文字の戸籍、印刷版、建物の壁に使用される支持板、（欃と同じ）ビャクダン、水門。水門水門CJK: cam4 , ちゃん
3E26: 表意文字（互いと同じ非古典的な形）。一緒に。お互いに（方言）ひっかきたり、ひっかいたりしてCJK: wu6 wui1 , フー
3E27: かむための表意文字（互換interchange）。かじり、かじりつくような音、（標準形g）歯茎（の）、侵食。日中韓を侵食する: haan​​2 , ケン
3E28: 大きな雄牛の表意文字CJK: gaau1 kaau1 , じゅう
3E29: 牛を捨てるための表意文字（止牛）CJK: ngon6 , あん
3E2A: ゆっくり歩く牛の表意文字CJK: maan5 seon4 , チュン
3E2B: 表意文字（犍と同じ）去勢牛。 ox、古代中国の政治部門の名前。今日の四川省、一種の動物（牛のように見える）CJK: gin1 , i
3E2C: 2歳の牛、体の長い牛、足の長い雄牛CJK: bui3 , べイ
3E2D: 反対の表意文字。牛の角の反対CJK: baa1 paa4 , バ
3E2E: 表意文字の雄牛。ブルロック;牛（去勢）、4歳の牛CJK: fan4 , フェン
3E2F: 上質な種類の牛（牛、雄牛、または雄牛）、角のない牛CJK: fo1 gaau1 , ē
3E30: 表意文字（犐と同じ）角のない牛CJK: to4 , tuó
3E31: 表意文字（㸰、犐と同じ）角のない牛CJK: to4 , tuó
3E32: 一種の山羊の表意文字。大きくて重い日中韓: zok3 , 動物園
3E33: 一種の牛の表意文字CJK: ling4 , りん
3E34:
3E35: 牛CJKの下げを表意文字: gwai2 , グー
3E36: オックステールの表意文字色。フラットイエローCJK: zin1 zin4 , やん
3E37: 表意文字（觢と同じ）まっすぐ2つの角を持つ一種の牛CJK: si6 , 市
3E38: 表意文字のふくらはぎ、雄牛。ブロック雄牛（去勢）、（変異）飼育動物CJK: haau3 , ほら
3E39: 背中に白の縞模様の表意文字の牛、多彩。単色、ミックス。不純な日中韓: lyut3 lyut6 , リエ
3E3A: 牛の表意文字。特定の動物の女性CJK: saa1 , シャー
3E3B: 一種の牛の表意文字。去年の子牛CJK: zi6 , シ
3E3C: 表意文字（犎と同じ）またはハンプオックスCJK: 菌類1
3E3D: 2歳の牛、長い、大きな足の牛CJK: bui3 , べイ
3E3E: 記入する表意文字（牣と同じ）。いっぱいの;で満たす; （交換可能な韌）柔らかいがタフでいっぱい。弾性CJK: zaan6 , レオン
3E3F: 表意文字（犢の省略形）ふくらはぎCJK: デューク6 , デュ
3E40: 牛の表意文字。動物の女性CJK: but6 , ボ
3E41: 一般的に白と黒の混色の動物（牛、羊など）と呼ばれる表意文字CJK: loeng4 , リアン
3E42: 手付かずの無秩序で無邪気な牛、巨大。大きい;大CJK: hin2 , 気
3E43: 2頭の盲目の牛を表意して互いに耕し、育成する。 2回目の耕作後に植える。 （Cant。）軽く押すには、CJKをオフにします: fe3 fei2 he3 , フェイ
3E44: 一種の牛の表意文字。低身長の日中韓の牛: zik1 , じい
3E45: 表意文字（総と同じ）一般日中韓: zung2 zung2 , zǒng
3E46: すきのコールターを表意文字。ぶら下がった牛の頭、牛の一種CJK: fai1 , フイ
3E47: 表意文字（標準形犍と同じ）牛の一種、去勢牛。牛CJK: ジン1ホック6ホット3 , 彼
3E48: 表意文字（膧膧と同じ）黒牛、ヤク、昔の国名CJK: lei4 mou4 , リ
3E49: 伝説的な動物（ある種は牛のように見える）を3フィートの野生の牛で表意文字。バイソンCJK: zyun4 , 元
3E4A: 白い色の牛の表意文字CJK: ngok6 , ゆえ
3E4B: 牛の表意文字。牛;ブル;牛、尾のない牛CJK: saau1 saau2 , xiū
3E4C: 表意文字牛家畜、牛。動物の女性CJK: caan2 , ちん
3E4D: 表意文字の雄牛。ブロック牛（去勢）CJK: dik6 , ディ
3E4E: 表意文字の雄牛。ブロック牛（去勢）、求子牛CJK: leoi4 , レイ
3E4F: 飼いならされた、優しく、そして譲歩する牛の表意文字。美しくて善い日中韓: gaan2 hong4 , じん
3E50: 銀行からの流れの速い流れに対してボートを牽引するための表意文字。浅瀬CJKでボートを追跡するには: cung4 , チャン
3E51: 表意文字（sealの大印鑑型と同じ）4歳牛2歳半の牛CJK: ci4 gaai1 si3 taai4 , シ
3E52: 表意文字の雄牛。去勢牛、子牛CJK: pak6 pei1 pok3 , pǔ
3E53: 動物、牛、馬の一種の表意文字を表意文字で表示します。活気ある日中韓: zi6 , よ
3E54: 背の高い表意文字の牛、白い牛。背中の色が白い牛CJK: goeng1 , じゃあん
3E55: 表意文字が劣っています。つまり、マイナーCJK: fun1 , フアン
3E56: 動物に穀物を与え、餌を与えるための表意文字（豢と同じ）。後ろへ上げるCJKをサポートする: waan6 , フアン
3E57: 表意牛と羊に子供はいませんCJK: tou1 , タオ
3E58: 牛の表意文字の骨、牛の一種CJK: zyu4 zyu6 , ルー
3E59: ふくらはぎ、ふくらはぎ、牛の飼いならしの呼びかけ音CJK: zing4 , ウェン
3E5A: ふくらはぎ、ふくらはぎ、牛の鳴き声の表意文字（㹙と同じ）CJK: zing4 , 陰
3E5B: 飼いならされた、優しく、そして譲歩する牛の表意文字。美しくて善い日中韓: ziu2 , ラオ
3E5C: 表意文字（犾と同じ）2匹の犬が互いに吠え、失礼な話し言葉。失礼な話。未研磨素朴で粗いCJK: ngaan4 , 陰
3E5D: 伝説の野生動物、蛇の表意文字。蛇CJK: si6 , 市
3E5E: Ide（sameと同じ）（arkと同じ）、（齗と同じ）歯茎（啀と同じ）、（啀と同じ）犬の吠えやつぶやきをするための戦い。とても怒っている: ngaan4 , 陰
3E5F: 一種の動物、野生で動き回る動物、野生。怒ってクレイジー、（cと同じ）狡猾。芸術的です。狡猾な日中韓: kui2 kyut3 , ジュー
3E60: 表意文字（豚と同じ）小さい大きな。足を持ち上げることなく一緒にシャッフルするための子豚: din6 tyun4 , トゥーン
3E61: 急いでせっかちな処分を表意文字（非古典的な形class）。急冷。狭義の、誠実で率直な日中韓: zyun4 , シュアン
3E62: 中国西部で発見された大型サル、アフリカで発見された貴重な哺乳類の表意文字CJK: gaa1 go1 , じゃあ
3E63: 犬CJKの一種の表意文字: zung1 , 中
3E64: 勇気に欠けている表意文字（痴と同じ）。臆病な、緊張。社会的に臆病です。恐怖の日中韓: hip3 , Qiè
3E65: 黒い頭を持つ黄色い犬の表意文字CJK: zyu3 , ジュー
3E66: 短い尾を持つ表意文字の犬、（非古典的な形と同じ）セーブル。テンミンク日中韓: ciu1 diu1 , ディアオ
3E67: 表意文字（非定型省略形）キツネ様動物CJK: zoeng1
3E68: 表意文字（「非古典的形」と同じ）、一種の動物（いたちのように見える）、黒い色の猿、ロングテールCJK: zaau6 , 君は
3E69:
3E6A: 表意文字（狦と同じ）激しい犬、一種の動物（オオカミのように見える）CJK: saan1
3E6B: 昔の中国では少数派を一般的に呼ばれる一種の動物（夷と同じ）の表意文字CJK: taai4 zi4 , イー
3E6C: 動物の一種（犬種）CJKの表意文字: si2 , ǐ
3E6D: 一種の猿、キツネCJKの表意文字: zaai6 , イー
3E6E: 動物の一種（ラバ族の）（asと同じ）バクCJK: モク6モウ6 , モ
3E6F: 表意文字（貅と同じ）トラのような一種の動物、素晴らしい激しい獣 - したがって - 激しい。勇敢な英雄的勇敢な日中韓: zaau1
3E70:
3E71: 戦国時代の犬の表意文字の名前（通常カササギ、カラス）として知られています。: zoek3 , クエ
3E72: おびえた豚や犬、樹皮、走っている豚の表意文字CJK: hau1 hau3 , シャオ
3E73: 猿の一種（テナガザル）CJK: ng4 , ウー
3E74: 動物のような、激しい犬の表意文字。小さくてかわいいCJK: ギャング1 , ゲング
3E75: 狩猟犬の表意文字、冬に狩猟する、帝国ツアーCJK: ging3 hing5 , うん
3E76: 一種の野生動物（猿族）CJKの表意文字: ting4 , ティン
3E77: 表意文字（狶狶と同じ）ブタ。豚;豚;大きな豚、豚を呼ぶのに使われる音、古代の皇帝の伝説的な呼称CJK: hei1 , ǐ
3E78: Ide（猊と同じ）ライオン、1日に500リットルをすることができる野生の獣または野生の馬CJK: ngaai4 ngaai6 , ニー
3E79: 犬CJKの一種の表意文字: ギャング1 , ゲング
3E7A: 食べ物をとるための表意文字犬、苦い（犬の言った）CJK: dap6 , タタ
3E7B: 犬部族CJKの表意文字（猧と同じ）子犬: waai1 wo1 , ウォー
3E7C: 一種の動物の表意文字CJK: guk1 , ジュ
3E7D: 噛むための表意文字（犬のこと）、食べ物を取るための犬CJK: caan2 , ちん
3E7E: 表意文字の狡猾。気の利いたスライ;ウィリー巧みで元気です。強い日中韓: piu2 , ピオ
3E7F: 激しい犬の表意文字、激しく噛む（犬のこと）、冬に狩りをする、一種の獣CJK: コーク3 , zhuó
3E80: 表意文字（猱と同じ）黄色い髪の猿、ワニ。ワニCJK: nau4 , フー
3E81: 一種の獣CJKの表意文字: nou5 , いや
3E82: 大きくて強い羊の表意文字、雌羊や山羊のヤギ、犬の種類、大声で吠える犬CJK: gaam2 him1 ngam4 , やん
3E83: 表意文字（狗と同じ）犬。犬CJK: gau2 , ぐう
3E84: 表意文字（狳と同じ）（貐の変形）獣の一種CJK: zyu5 , うん
3E85: Ide（猴と同じ）猿CJK: hau4 ngau4 , ほー
3E86:
3E87: 監視員を表意文字。 （古代中国では）公共事業大臣、観察する。 CJKを見る: si1 , シー
3E88: 狩りに行くための表意文字。狩猟遠征CJKに行くために: CI1 , チー
3E89: 犬の部族の激しい動物を表意文字。犬の頭と馬の尾を持つ。黄色と黒の色で: huk6 , フー
3E8A: 獣の表意文字（ライオンのように見える）CJK: zoeng6 , ヤン
3E8B: 表意文字ブタ豚CJK: zung1 , ウェン
3E8C: 表意文字無限の吠え声、2匹の犬がCJKと戦っています: laam6 , シアン
3E8D: 一種のカワウソCJKの表意文字: ban1 pun4 , ピン
3E8E: 表意文字激しい獣。ゼブ。またはハンプオックスCJK: zung4 , ロン
3E8F: 表意文字（貗と同じ）アナグマ。野生のクマCJK: laau4 zyu4 , ロウ
3E90: 表意文字（U + 7360°と同じ）は、旧中国の少数民族グループ（南西部）の総称です。夜には松明で狩る。スケベな、変な、魅力CJK: zau2 , ǎ
3E91: 表意文字の犬は残酷な行為を抑圧するために狭い場所を通って悩んだ。心を傷つけないように、犬をかむ、犬の髪、伝説的なモンスター（小人のように見える）、樹皮CJK: cam4 , シャーン
3E92: 混乱させるために、おびえた犬の表意文字の吠え声。無秩序邪魔、狡猾。芸術的です。巧妙な、失敗し、公開されるCJK: haau1 , シャオ
3E93: 表意文字（喝と同じ）の足跡。トレース（互換性のある僄）アジャイル。よろしく。軽快、軽薄です。遊び心軽快な日中韓: zik1 , ゼ
3E94: 一種の獣、伝説のモンスターCJKを表意文字: faai1 hoi6 , ハイ
3E95: 犬の喧嘩の音を綴ります、アジャイル。明るく日中韓: ビン6ファン4 , ファン
3E96: 表意文字犬の吠え、小さな犬。子犬、今日の河南省新ian中国の中の場所の名前: ham3 , は
3E97: 噛むための表意文字。かじります。犬がかむCJK: caan1 , ちゃん
3E98: 一種の動物の表意文字CJK: sou1 tou1 zam3 zin1 zin2 , チャーン
3E99:
3E9A: 表意文字（獺と同じ）カワウソCJK: cat3 sat3 , ǎ
3E9B: 河南省の村の表意名、パビリオンの名前CJK: zyu3 , ジュー
3E9C: 長いシャギーな髪の表意文字激しい犬。苗国籍の一部の旧名称（中国南西部）CJK: nung4 , 名詞
3E9D: 虎の表意文字の音、際限なく吠える激しい犬、激しい犬、犬の噛む音CJK: ハム5ラム6 , ハーン
3E9E: 嘆きのサイン、貯金箱の泣き、一種の獣CJK: zyu4 , ゆう
3E9F: 一種の獣を表意文字で描きます。鹿のように見えます。白尾（蠗と同じ）一種の動物（猿族の）CJK: zuk6 , zhuó
3EA0: ロングテールのある黒い類人猿（貁と同じ）（イタチ族の）一種の動物CJK: zaau6 , 君は
3EA1: 一種の獣CJKの表意文字: lik6 lim5 , Lì
3EA2: 一種の動物の表意文字。体はキリンよりも小さいです。頭の上の2つの短い角。背中と脚の間に黒と白の縞模様CJK: kut3 , ほら
3EA3: 一種の動物の表意文字。豚ブタCJK: hei1 sik1 , xī
3EA4: 一種の獣CJKの表意文字: cim1 , シアン
3EA5: 表意文字の樹皮、（sameと同じ）狡猾なうさぎ。妖精のウサギCJK: caam4 , ちゃん
3EA6: 走っている動物、木に沿って登るサル、わだち犬CJKの表意文字: lyun4 , リアン
3EA7: 白黄色の犬、黄色い犬、狂った犬、犬のグループの吠え声が強くCJK: hei3 hiu1 ho2
3EA8: 玉CJKのような表意文字ファインストーン: si1 , シー
3EA9: 表意玉の記事、（（と同じ）一種の玉CJK: gau6 , じゅう
3EAA: 表意文字（璞と同じ）刻まれていない未研磨の翡翠または宝石CJK: lung4 pok3 , プー
3EAB: 表意文字（玌と同じ）一種の翡翠CJK: aau3 kaau4 , 秋
3EAC: 表意文字（珙と同じ）玉石CJKの大部分: ガン2 , gǒng
3EAD: 一種の翡翠漢字CJK: gei2 zi2 , zǐ
3EAE: 翡翠のような表意文字（（と同じ）ファインストーンCJK: zyu1 , ゆう
3EAF:
3EB0: 表意文字（瑡と同じ）一種の翡翠CJK: si1
3EB1: 一種の翡翠漢字CJK: zing4 , レン
3EB2: 表意文字（鈕の古形）ボタンCJK: naau2 , にゃ
3EB3: 表意文字（玫と同じ）黒雲母（キラキラの赤い宝石）CJK: mui4 , メイ
3EB4: 精神の表意文字の名前。神、玉の一種CJK: baat3 , バ
3EB5: 表意文字（堕のかたち）黒玉石CJK: gau2 , じゅう
3EB6:
3EB7: 表意文字（珬と同じ）玉の一種（馬用玉飾り）CJK: seot1 , xù
3EB8: 一種の翡翠漢字CJK: ping4 , ピン
3EB9: 一種の翡翠、翡翠で装飾された円錐形の帽子（古代の儀式に着用した）: bin6 , バイアン
3EBA: 表意文字（瑁の古代の省略形）は、貴族によって支えられたテーブルと一致するように古代の皇帝によって身に着けられている非常に貴重な玉の一片: mou6 , マオ
3EBB:
3EBC:
3EBD:
3EBE:
3EBF: 翡翠のような石、翡翠の一種CJK: zi4 , イー
3EC0: ヒスイCJKよりももう少し価値のない表意文字ファインストーン: zyu4 zyu5 , ゆう
3EC1: 表意文字（classの非古典的な形式）（瑰の変形）一種のジャスパー。翡翠より少し価値のない石、並はずれています。素晴らしいまたは立派なCJK: gwai1
3EC2: 翡翠の一種の表意文字、（classの非古典的な形）真珠CJK: ping4 , ピン
3EC3: 表意文字が曲がっている。曲がる;ひねり、関与する。間接日中韓: kuk1 , キュー
3EC4: 表意文字（寶と同じ）宝、貴重なもの。貴重な、立派な。名誉ある日中韓: bou2 , よろしく
3EC5: 人名CJKで使用されている表意文字（siの簡略形）玉飾りキャップ: wui6 , フイ
3EC6:
3EC7:
3EC8:
3EC9: 表意文字翡翠CJK: ブー6ブー6 , ブー
3ECA: 表意文字（classの非古典的な形と同じ）赤翡翠CJK: mun4 , メーン
3ECB: 表意文字（省略形）（交換可能なj）一種の翡翠。一種の赤い宝石CJK: laat6 , ラ
3ECC: 表意文字翡翠CJK: caau1 caau4 tou4 , トゥー
3ECD: 刀の碑文（互換珸）名称、玉石より少々貴重な細かい石CJK: ng4 , ウー
3ECE: 表意文字（古代の形の瑟）は、横長の大きな楽器で、通常はチューニング用の橋を渡る25本の弦があります。昔はこの楽器には50本の弦がありましたが、その数はさまざまですCJK: sat1 , Lì
3ECF: 翡翠ペンダントCJKの表意文字（U + 73B2玲と同じ）: ling4 , りん
3ED0:
3ED1: 一種の翡翠漢字CJK: gwaai3 gwan3 , じい
3ED2: 表意文字の赤い色の翡翠も、普通の等しいCJK: kwaan2 , ジュン
3ED3: 翡翠の翡翠、翡翠の縞模様（線）CJK: lit6 zaau1 , ゾウ
3ED4: 一種の翡翠漢字CJK: do2 , デュア
3ED5: 一種の翡翠漢字CJK: gwat6 , ジュー
3ED6: 一種の翡翠漢字CJK: doi6 , ダイ
3ED7: 表意文字（飴と同じ）真珠の文字列。 500ビーズCJK: faai2 pui5 , べイ
3ED8:
3ED9:
3EDA:
3EDB:
3EDC:
3EDD: 一種の翡翠漢字CJK: laat6 , ラ
3EDE: 色とりどりの翡翠の繁栄と輝き、翡翠の装飾、洗練された、線や縞の表意文字（互換彬）CJK: 禁止1 , ビーン
3EDF: 一種の翡翠漢字CJK: ceoi4 , すい
3EE0: 表意翡翠は古くは帽子の両側にぶら下がっていました。耳を塞ぐために使用されます。 CJKを受け取る: tou4 , トゥー
3EE1: 表意文字（交換可能な鞢）小さなセグメントが切り取られた玉リング。分離を示すのに使用されて、射手によって身に着けられている親指リング、（金属のと言われた）クリック音のキラキラする音、（腐った形のform）を取り除くために。日中韓を排除する: 座る3 , xuē
3EE2:
3EE3:
3EE4:
3EE5:
3EE6:
3EE7: 一種の翡翠漢字CJK: do6 , デュオ
3EE8: 翡翠CJKよりも少し貴重ではない表意文字ファインストーン
3EE9:
3EEA: 一種の翡翠（璿璇と同じ）上質な翡翠CJK: seoi6 , すい
3EEB: 表意文字（古代の形のasと同じ）、鞘に宝石や装飾品CJK: bit1 , ビ
3EEC: 一種の翡翠漢字CJK: syu1 , トゥー
3EED: 表意文字（璱と同じ）ピュアアンドファイン（翡翠と言う）CJK: sat1 , セー
3EEE: 表意文字（classの非古典的な形と同じ）は明るく鮮やかです。艶やかで明るいCJK: caan3 , できる
3EEF: 表意文字（classの非古典的な形と同じ）翡翠の一種CJK: tou4 tuk1 , トゥー
3EF0: 表札装飾された玉や鞘に飾りCJK: wai6 , マイル
3EF1: 丸への表意文字。周回する。取り囲む人の名前に使われる（璡と同じ）C CJKのような玉: ゼオン1 , じん
3EF2: 秋の初めの儀礼や儀礼（1年の24の季節期間のうちの1つの始まりを示す日、通常8月8日または9日に落ちます）CJK: leoi5 , ǚ
3EF3:
3EF4:
3EF5: 一種の翡翠漢字CJK: zaan6 , チャーン
3EF6: 白と自然の色の翡翠管、自然の色（緑、青、黒）の翡翠、サファイアCJK: bat1 , ǐ
3EF7: 地名（翡翠で有名）、翡翠の一種CJK: gik1 kak3 , じ
3EF8: 石のような表意文字玉CJK: caam4 saam4 , 禅
3EF9: ひび割れを表意文字。隙間、暇な時間。レジャー日中韓: ヒョン1 , xuān
3EFA: 一種の翡翠漢字CJK: lik6 , Lì
3EFB:
3EFC:
3EFD: 表意文字（U + 74BF璿U + 7487 sameと同じ）ファインジェイドCJK: seoi6 , すい
3EFE: 翡翠翡翠品、翡翠CJKよりももう少し価値のない上質な石: zung2 , ヨン
3EFF: 一種の翡翠漢字CJK: suk6 , ǔ
